pclass;survived;sex;age;sibsp;parch;ticket;fare;cabin;embarked
1;0;male;24;1;0;13695;60,0000;C31;S
1;0;male;;0;0;113056;26,0000;A19;S
1;1;female;18;1;0;13695;60,0000;C31;S
1;1;male;24;1;0;21228;82,2667;B45;S
1;1;female;23;1;0;21228;82,2667;B45;S
1;1;male;6;0;2;16966;134,5000;E34;C
1;1;male;45;1;1;16966;134,5000;E34;C
1;1;female;40;1;1;16966;134,5000;E34;C
1;0;male;57;1;0;PC 17569;146,5208;B78;C
1;1;female;;1;0;PC 17569;146,5208;B78;C
1;1;male;32;0;0;13214;30,5000;B50;C
1;0;male;62;0;0;113514;26,5500;C87;S
1;1;male;54;1;0;11778;55,4417;C116;C
1;1;female;43;1;0;11778;55,4417;C116;C
1;1;female;52;1;0;36947;78,2667;D20;C
1;0;male;;0;0;PC 17605;27,7208;;C
1;1;female;62;0;0;113572;80,0000;B28;
1;0;male;67;1;0;PC 17483;221,7792;C55 C57;S
1;0;female;63;1;0;PC 17483;221,7792;C55 C57;S
1;0;male;61;0;0;36963;32,3208;D50;S
1;1;female;48;0;0;17466;25,9292;D17;S
1;1;female;18;0;2;110413;79,6500;E68;S
1;0;male;52;1;1;110413;79,6500;E67;S
1;1;female;39;1;1;110413;79,6500;E67;S
1;1;male;48;1;0;19996;52,0000;C126;S
1;1;female;;1;0;19996;52,0000;C126;S
1;0;male;49;1;1;17421;110,8833;C68;C
1;1;male;17;0;2;17421;110,8833;C70;C
1;1;female;39;1;1;17421;110,8833;C68;C
1;1;female;;0;0;PC 17585;79,2000;;C
1;1;male;31;0;0;2543;28,5375;C53;C
1;0;male;40;0;0;PC 17601;27,7208;;C
1;0;male;61;0;0;111240;33,5000;B19;S
1;0;male;47;0;0;36967;34,0208;D46;S
1;1;female;35;0;0;PC 17755;512,3292;;C
1;0;male;64;1;0;110813;75,2500;D37;C
1;1;female;60;1;0;110813;75,2500;D37;C
1;0;male;60;0;0;113800;26,5500;;S
1;0;male;54;0;1;35281;77,2875;D26;S
1;0;male;21;0;1;35281;77,2875;D26;S
1;1;female;55;0;0;PC 17760;135,6333;C32;C
1;1;female;31;0;2;36928;164,8667;C7;S
1;0;male;57;1;1;36928;164,8667;;S
1;1;female;45;1;1;36928;164,8667;;S
1;0;male;50;1;1;113503;211,5000;C80;C
1;0;male;27;0;2;113503;211,5000;C82;C
1;1;female;50;1;1;113503;211,5000;C80;C
1;1;female;21;0;0;113795;26,5500;;S
1;0;male;51;0;1;PC 17597;61,3792;;C
1;1;male;21;0;1;PC 17597;61,3792;;C
1;0;male;;0;0;113510;35,0000;C128;S
1;1;female;31;0;0;16966;134,5000;E39 E41;C
1;1;male;;0;0;19947;35,5000;C52;S
1;0;male;62;0;0;113807;26,5500;;S
1;1;female;36;0;0;PC 17760;135,6333;C32;C
2;0;male;30;1;0;P/PP 3381;24,0000;;C
2;1;female;28;1;0;P/PP 3381;24,0000;;C
2;0;male;30;0;0;248744;13,0000;;S
2;0;male;18;0;0;231945;11,5000;;S
2;0;male;25;0;0;C.A. 34050;10,5000;;S
2;0;male;34;1;0;226875;26,0000;;S
2;1;female;36;1;0;226875;26,0000;;S
2;0;male;57;0;0;244346;13,0000;;S
2;0;male;18;0;0;29108;11,5000;;S
2;0;male;23;0;0;C.A. 31030;10,5000;;S
2;1;female;36;0;0;28551;13,0000;D;S
2;0;male;28;0;0;C.A./SOTON 34068;10,5000;;S
2;0;male;51;0;0;S.O.P. 1166;12,5250;;S
2;1;male;32;1;0;2908;26,0000;;S
2;1;female;19;1;0;2908;26,0000;;S
2;0;male;28;0;0;244358;26,0000;;S
2;1;male;1;2;1;230136;39,0000;F4;S
2;1;female;4;2;1;230136;39,0000;F4;S
2;1;female;12;2;1;230136;39,0000;F4;S
2;1;female;36;0;3;230136;39,0000;F4;S
2;1;male;34;0;0;248698;13,0000;D56;S
2;1;female;19;0;0;28404;13,0000;;S
2;0;male;23;0;0;28425;13,0000;;S
2;0;male;26;0;0;237670;13,0000;;S
2;0;male;42;0;0;211535;13,0000;;S
2;0;male;27;0;0;220367;13,0000;;S
2;1;female;24;0;0;248733;13,0000;F33;S
2;1;female;15;0;2;29750;39,0000;;S
2;0;male;60;1;1;29750;39,0000;;S
2;1;female;40;1;1;29750;39,0000;;S
2;1;female;20;1;0;236853;26,0000;;S
2;0;male;25;1;0;236853;26,0000;;S
2;1;female;36;0;0;27849;13,0000;;S
2;0;male;25;0;0;234686;13,0000;;S
2;0;male;42;0;0;244310;13,0000;;S
2;1;female;42;0;0;236852;13,0000;;S
2;1;male;0,8333;0;2;248738;29,0000;;S
2;1;male;26;1;1;248738;29,0000;;S
2;1;female;22;1;1;248738;29,0000;;S
2;1;female;35;0;0;F.C.C. 13528;21,0000;;S
2;0;male;;0;0;239853;0,0000;;S
2;0;male;19;0;0;28424;13,0000;;S
2;0;female;44;1;0;244252;26,0000;;S
2;0;male;54;1;0;244252;26,0000;;S
2;0;male;52;0;0;248731;13,5000;;S
2;0;male;37;1;0;SC/AH 29037;26,0000;;S
2;0;female;29;1;0;SC/AH 29037;26,0000;;S
2;1;female;25;1;1;237789;30,0000;;S
2;1;female;45;0;2;237789;30,0000;;S
2;0;male;29;1;0;2003;26,0000;;S
2;1;female;28;1;0;2003;26,0000;;S
2;0;male;29;0;0;W./C. 14263;10,5000;;S
2;0;male;28;0;0;248740;13,0000;;S
2;1;male;24;0;0;28034;10,5000;;S
2;1;female;8;0;2;C.A. 31921;26,2500;;S
2;0;male;31;1;1;C.A. 31921;26,2500;;S
2;1;female;31;1;1;C.A. 31921;26,2500;;S
2;1;female;22;0;0;W./C. 14266;10,5000;F33;S
2;0;female;30;0;0;237249;13,0000;;S
2;0;female;;0;0;F.C.C. 13534;21,0000;;S
2;0;male;21;0;0;29107;11,5000;;S
2;0;male;;0;0;239853;0,0000;;S
2;1;male;8;1;1;C.A. 33112;36,7500;;S
2;0;male;18;0;0;S.O.C. 14879;73,5000;;S
2;1;female;48;0;2;C.A. 33112;36,7500;;S
2;1;female;28;0;0;237668;13,0000;;S
2;0;male;32;0;0;244360;13,0000;;S
2;0;male;17;0;0;S.O.C. 14879;73,5000;;S
2;0;male;29;1;0;SC/PARIS 2167;27,7208;;C
2;1;female;24;1;0;SC/PARIS 2167;27,7208;;C
2;0;male;25;0;0;C.A. 31029;31,5000;;S
2;0;male;18;0;0;S.O.C. 14879;73,5000;;S
2;1;female;18;0;1;231919;23,0000;;S
2;1;female;34;0;1;231919;23,0000;;S
2;0;male;54;0;0;28403;26,0000;;S
2;1;male;8;0;2;28220;32,5000;;S
2;0;male;42;1;1;28220;32,5000;;S
2;1;female;34;1;1;28220;32,5000;;S
2;1;female;27;1;0;SC/PARIS 2149;13,8583;;C
2;1;female;30;1;0;SC/PARIS 2148;13,8583;;C
2;0;male;23;0;0;29751;13,0000;;S
2;0;male;21;0;0;236854;13,0000;;S
2;0;male;18;0;0;236171;13,0000;;S
2;0;male;40;1;0;2926;26,0000;;S
2;1;female;29;1;0;2926;26,0000;;S
2;0;male;18;0;0;C.A. 15185;10,5000;;S
2;0;male;36;0;0;229236;13,0000;;S
2;0;male;;0;0;239854;0,0000;;S
2;0;female;38;0;0;237671;13,0000;;S
2;0;male;35;0;0;239865;26,0000;;S
2;0;male;38;1;0;28664;21,0000;;S
2;0;male;34;1;0;28664;21,0000;;S
2;1;female;34;0;0;243880;13,0000;;S
2;0;male;16;0;0;239865;26,0000;;S
2;0;male;26;0;0;31028;10,5000;;S
2;0;male;47;0;0;C.A. 30769;10,5000;;S
2;0;male;21;1;0;28133;11,5000;;S
2;0;male;21;1;0;28134;11,5000;;S
2;0;male;24;0;0;248726;13,5000;;S
2;0;male;24;0;0;233866;13,0000;;S
2;0;male;34;0;0;12233;13,0000;;S
2;0;male;30;0;0;250646;13,0000;;S
2;0;male;52;0;0;250647;13,0000;;S
2;0;male;30;0;0;250653;13,0000;;S
2;1;male;0,6667;1;1;250649;14,5000;;S
2;1;female;24;0;2;250649;14,5000;;S
2;0;male;44;0;0;248746;13,0000;;S
2;1;female;6;0;1;248727;33,0000;;S
2;0;male;28;0;1;248727;33,0000;;S
2;1;male;62;0;0;S.W./PP 752;10,5000;;S
2;0;male;30;0;0;W/C 14208;10,5000;;S
2;1;female;7;0;2;F.C.C. 13529;26,2500;;S
2;0;male;43;1;1;F.C.C. 13529;26,2500;;S
2;1;female;45;1;1;F.C.C. 13529;26,2500;;S
2;1;female;24;1;2;220845;65,0000;;S
2;1;female;24;1;2;220845;65,0000;;S
2;0;male;49;1;2;220845;65,0000;;S
2;1;female;48;1;2;220845;65,0000;;S
2;1;female;55;0;0;248706;16,0000;;S
2;0;male;24;2;0;S.O.C. 14879;73,5000;;S
2;0;male;32;2;0;S.O.C. 14879;73,5000;;S
2;0;male;21;2;0;S.O.C. 14879;73,5000;;S
2;0;female;18;1;1;250650;13,0000;;S
2;1;female;20;2;1;29105;23,0000;;S
2;0;male;23;2;1;29104;11,5000;;S
2;0;male;36;0;0;242963;13,0000;;S
2;1;female;54;1;3;29105;23,0000;;S
2;0;male;50;0;0;250643;13,0000;;S
2;0;male;44;1;0;26707;26,0000;;S
2;1;female;29;1;0;26707;26,0000;;S
2;0;male;21;0;0;S.O.C. 14879;73,5000;;S
2;1;male;42;0;0;237798;13,0000;;S
2;0;male;63;1;0;24065;26,0000;;S
2;0;female;60;1;0;24065;26,0000;;S
2;0;male;33;0;0;SCO/W 1585;12,2750;;S
2;1;female;17;0;0;SO/C 14885;10,5000;;S
2;0;male;42;1;0;243847;27,0000;;S
2;1;female;24;2;1;243847;27,0000;;S
2;0;male;47;0;0;237565;15,0000;;S
2;0;male;24;2;0;C.A. 31029;31,5000;;S
2;0;male;22;2;0;C.A. 31029;31,5000;;S
2;0;male;32;0;0;C.A. 33111;10,5000;;S
2;1;female;23;0;0;SC/AH Basle 541;13,7917;D;C
2;0;male;34;1;0;244367;26,0000;;S
2;1;female;24;1;0;244367;26,0000;;S
2;0;female;22;0;0;F.C.C. 13534;21,0000;;S
2;1;female;;0;0;226593;12,3500;E101;Q
2;0;male;35;0;0;233734;12,3500;;Q
2;1;female;45;0;0;223596;13,5000;;S
2;0;male;57;0;0;219533;12,3500;;Q
2;0;male;;0;0;239855;0,0000;;S
2;0;male;31;0;0;C.A. 18723;10,5000;;S
2;0;female;26;1;1;250651;26,0000;;S
2;0;male;30;1;1;250651;26,0000;;S
2;0;male;;0;0;240261;10,7083;;Q
2;1;female;1;1;2;SC/Paris 2123;41,5792;;C
2;1;female;3;1;2;SC/Paris 2123;41,5792;;C
2;0;male;25;1;2;SC/Paris 2123;41,5792;;C
2;1;female;22;1;2;SC/Paris 2123;41,5792;;C
2;1;female;17;0;0;SC 1748;12,0000;;C
2;1;female;;0;0;248727;33,0000;;S
2;1;female;34;0;0;C.A. 34260;10,5000;F33;S
2;0;male;36;0;0;SC/Paris 2163;12,8750;D;C
2;0;male;24;0;0;C.A. 29566;10,5000;;S
2;0;male;61;0;0;235509;12,3500;;Q
2;0;male;50;1;0;SC/AH 3085;26,0000;;S
2;1;female;42;1;0;SC/AH 3085;26,0000;;S
2;0;female;57;0;0;S.O./P.P. 3;10,5000;E77;S
2;0;male;;0;0;237735;15,0458;D;C
2;1;male;1;0;2;S.C./PARIS 2079;37,0042;;C
2;0;male;31;1;1;S.C./PARIS 2079;37,0042;;C
2;1;female;24;1;1;S.C./PARIS 2079;37,0042;;C
2;0;male;;0;0;SC/A.3 2861;15,5792;;C
2;0;male;30;0;0;28228;13,0000;;S
2;0;male;40;0;0;239059;16,0000;;S
2;0;male;32;0;0;237216;13,5000;;S
2;0;male;30;0;0;233478;13,0000;;S
2;0;male;46;0;0;28403;26,0000;;S
2;1;female;13;0;1;250644;19,5000;;S
2;1;female;41;0;1;250644;19,5000;;S
2;1;male;19;0;0;SW/PP 751;10,5000;;S
2;0;male;39;0;0;248723;13,0000;;S
2;0;male;48;0;0;234360;13,0000;;S
2;0;male;70;0;0;C.A. 24580;10,5000;;S
2;0;male;27;0;0;211536;13,0000;;S
2;0;male;54;0;0;29011;14,0000;;S
2;0;male;39;0;0;250655;26,0000;;S
2;0;male;16;0;0;S.O./P.P. 3;10,5000;;S
2;0;male;62;0;0;240276;9,6875;;Q
2;0;male;32,5;1;0;237736;30,0708;;C
2;1;female;14;1;0;237736;30,0708;;C
2;1;male;2;1;1;230080;26,0000;F2;S
2;1;male;3;1;1;230080;26,0000;F2;S
2;0;male;36,5;0;2;230080;26,0000;F2;S
2;0;male;26;0;0;244368;13,0000;F2;S
2;0;male;19;1;1;C.A. 33112;36,7500;;S
2;0;male;28;0;0;218629;13,5000;;S
2;1;male;20;0;0;SC/PARIS 2166;13,8625;D38;C
2;1;female;29;0;0;C.A. 29395;10,5000;F33;S
2;0;male;39;0;0;28213;13,0000;;S
2;1;male;22;0;0;W./C. 14260;10,5000;;S
2;1;male;;0;0;SC/PARIS 2146;13,8625;;C
2;0;male;23;0;0;244278;10,5000;;S
2;1;male;29;0;0;SC/PARIS 2147;13,8583;;C
2;0;male;28;0;0;SC 14888;10,5000;;S
2;0;male;;0;0;239853;0,0000;;S
2;1;female;50;0;1;230433;26,0000;;S
2;0;male;19;0;0;28665;10,5000;;S
2;0;male;;0;0;SC/PARIS 2131;15,0500;;C
2;0;male;41;0;0;237393;13,0000;;S
2;1;female;21;0;1;S.O./P.P. 2;21,0000;;S
2;1;female;19;0;0;250655;26,0000;;S
2;0;male;43;0;1;S.O./P.P. 2;21,0000;;S
2;1;female;32;0;0;234604;13,0000;;S
2;0;male;34;0;0;250647;13,0000;;S
2;1;male;30;0;0;C.A. 34644;12,7375;;C
2;0;male;27;0;0;SC/PARIS 2168;15,0333;;C
2;1;female;2;1;1;26360;26,0000;;S
2;1;female;8;1;1;26360;26,0000;;S
2;1;female;33;0;2;26360;26,0000;;S
2;0;male;36;0;0;C.A. 17248;10,5000;;S
2;0;male;34;1;0;31027;21,0000;;S
2;1;female;30;3;0;31027;21,0000;;S
2;1;female;28;0;0;230434;13,0000;;S
2;0;male;23;0;0;SC/PARIS 2133;15,0458;;C
2;1;male;0,8333;1;1;29106;18,7500;;S
2;1;male;3;1;1;29106;18,7500;;S
2;1;female;24;2;3;29106;18,7500;;S
2;1;female;50;0;0;W./C. 14258;10,5000;;S
